,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,tenure-grp,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,SeniorCitizen_0,SeniorCitizen_1,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,29.85,29.85,0,1-12,1,0,0,1,1,0,1,0,0,0,1,0
1,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,56.95,1889.5,0,25 - 36,0,1,1,0,1,0,1,0,0,0,0,1
2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,53.85,108.15,1,1-12,0,1,1,0,1,0,1,0,0,0,0,1
3,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,42.3,1840.75,0,37 - 48,0,1,1,0,1,0,1,0,1,0,0,0
4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,70.7,151.65,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,99.65,820.5,1,1-12,1,0,1,0,1,0,1,0,0,0,1,0
6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,89.1,1949.4,0,13 - 24,0,1,1,0,0,1,1,0,0,1,0,0
7,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,29.75,301.9,0,1-12,1,0,1,0,1,0,1,0,0,0,0,1
8,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,104.8,3046.05,1,25 - 36,1,0,0,1,1,0,1,0,0,0,1,0
9,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,56.15,3487.95,0,61 - 72,0,1,1,0,0,1,1,0,1,0,0,0
10,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,49.95,587.45,0,13 - 24,0,1,0,1,0,1,1,0,0,0,0,1
11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,18.95,326.8,0,13 - 24,0,1,1,0,1,0,1,0,0,1,0,0
12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,100.35,5681.1,0,49 - 60,0,1,0,1,1,0,1,0,0,1,0,0
13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,103.7,5036.3,1,49 - 60,0,1,1,0,1,0,1,0,1,0,0,0
14,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,105.5,2686.05,0,25 - 36,0,1,1,0,1,0,1,0,0,0,1,0
